fipscode,varname,race_ethn,age,c_mn,se_tot,c_upr,c_lwr,county
6073,first_entry,Black,18,0.0879951540089985,0.002402534233728426,0.09270412110710621,0.08328618691089079,CA: San Diego
6073,first_inv,Black,18,0.5268079653246595,0.0035815445620466665,0.5338277926662709,0.519788137983048,CA: San Diego
6073,first_victim,Black,18,0.16595638019501568,0.0029503209097521735,0.17173900917812995,0.16017375121190142,CA: San Diego
6073,tpr,Black,18,0.01644903205378674,0.0010429237689988837,0.018493162641024553,0.01440490146654893,CA: San Diego
6085,first_entry,Black,18,0.09950854297908779,0.005057482335396712,0.10942120835646535,0.08959587760171023,CA: Santa Clara
6085,first_inv,Black,18,0.39274444348746435,0.00692120328569812,0.40631000192743266,0.37917888504749603,CA: Santa Clara
6085,first_victim,Black,18,0.12264951672044386,0.004846346217386613,0.1321483553065216,0.11315067813436609,CA: Santa Clara
6085,tpr,Black,18,0.010565277554611202,0.0015571511676303557,0.013617293843166699,0.0075132612660557055,CA: Santa Clara
12011,first_entry,Black,18,0.07296109953401457,0.0012232124174211747,0.07535859587216007,0.07056360319586907,FL: Broward
12011,first_inv,Black,18,0.4818664040956223,0.0021326932389257912,0.4860464828439169,0.47768632534732774,FL: Broward
12011,first_victim,Black,18,0.128977750989783,0.0015856099708352084,0.13208554653262003,0.12586995544694599,FL: Broward
12011,tpr,Black,18,0.01700508860191091,6.166571221901763e-4,0.018213736561403657,0.015796440642418166,FL: Broward
12086,first_entry,Black,18,0.08406953098613461,0.0014602549467113523,0.08693163068168885,0.08120743129058036,FL: Miami-Dade
12086,first_inv,Black,18,0.4933569938998779,0.0023864210568743916,0.49803437917135174,0.4886796086284041,FL: Miami-Dade
12086,first_victim,Black,18,0.07653671201551794,0.0014168682772963009,0.07931377383901869,0.07375965019201719,FL: Miami-Dade
12086,tpr,Black,18,0.022228181124604104,7.846566342066184e-4,0.023766108127649076,0.020690254121559132,FL: Miami-Dade
17031,first_entry,Black,18,0.045376273860054356,7.038531429720722e-4,0.04675582602027962,0.04399672169982909,IL: Cook
17031,first_inv,Black,18,0.5961405728211995,0.001352949193805098,0.5987923532410575,0.5934887924013414,IL: Cook
17031,first_victim,Black,18,0.15927208728459008,0.001205790873607215,0.16163543739686023,0.15690873717231993,IL: Cook
17031,tpr,Black,18,0.005443342629077752,2.550161247806905e-4,0.0059431742336479056,0.0049435110245075985,IL: Cook
25017,first_entry,Black,18,0.0812770461371369,0.0032318233363581653,0.08761141987639891,0.0749426723978749,MA: Middlesex
25017,first_inv,Black,18,0.5481436696862731,0.005325460882925458,0.558581573016807,0.5377057663557393,MA: Middlesex
25017,first_victim,Black,18,0.26536102741335577,0.005285342365298245,0.2757202984493403,0.2550017563773712,MA: Middlesex
25017,tpr,Black,18,0.0073566880680234065,0.0010107908092091796,0.009337838054073398,0.005375538081973415,MA: Middlesex
26163,first_entry,Black,18,0.07469506340740956,0.0011359632431283348,0.07692155136394109,0.07246857545087802,MI: Wayne
26163,first_inv,Black,18,0.5409795619238531,0.001962801697220268,0.5448266532504048,0.5371324705973014,MI: Wayne
26163,first_victim,Black,18,0.22967828494322806,0.001805710621074262,0.23321747776053361,0.2261390921259225,MI: Wayne
26163,tpr,Black,18,0.02075738716488748,6.19376671086005e-4,0.02197136544021605,0.01954340888955891,MI: Wayne
32003,first_entry,Black,18,0.16719649924537983,0.002339426323115671,0.17178177483868654,0.16261122365207312,NV: Clark
32003,first_inv,Black,18,0.5979672778990435,0.00275673958791132,0.6033704874913497,0.5925640683067372,NV: Clark
32003,first_victim,Black,18,0.15223130413043648,0.0022695447672136768,0.15667961187417528,0.14778299638669767,NV: Clark
32003,tpr,Black,18,0.024038413526249552,9.854847433085048e-4,0.025969963623134223,0.02210686342936488,NV: Clark
36061,first_entry,Black,18,0.06393214945775967,6.340887661240513e-4,0.06517496343936281,0.06268933547615653,NY: New York
36061,first_inv,Black,18,0.44268593517451493,0.0011543501914799753,0.4449484615498157,0.44042340879921416,NY: New York
36061,first_victim,Black,18,0.23281113580304422,0.0010242372166394313,0.23481864074765751,0.23080363085843092,NY: New York
36061,tpr,Black,18,0.003854553060241378,1.5369988682652444e-4,0.004155804838421366,0.00355330128206139,NY: New York
48029,first_entry,Black,18,0.08798340584690308,0.0024787338936495523,0.0928417242784562,0.08312508741534995,TX: Bexar
48029,first_inv,Black,18,0.5132718431528177,0.0039066994862923185,0.5209289741459506,0.5056147121596848,TX: Bexar
48029,first_victim,Black,18,0.178537598390004,0.003288918277793626,0.1849838782144795,0.17209131856552848,TX: Bexar
48029,tpr,Black,18,0.034799332313244544,0.0016095647506211002,0.0379540792244619,0.031644585402027185,TX: Bexar
48113,first_entry,Black,18,0.08379784925492115,0.0012867797825922157,0.08631993762880188,0.08127576088104041,TX: Dallas
48113,first_inv,Black,18,0.52887966985222,0.0020053903807092373,0.5328102349984101,0.52494910470603,TX: Dallas
48113,first_victim,Black,18,0.1995552675685076,0.0018035987162664162,0.20309032105238978,0.19602021408462544,TX: Dallas
48113,tpr,Black,18,0.015375474706184541,5.792368161381377e-4,0.01651077886581529,0.014240170546553792,TX: Dallas
48201,first_entry,Black,18,0.06001645520983778,8.815362935115999e-4,0.06174426634512052,0.05828864407455504,TX: Harris
48201,first_inv,Black,18,0.47066870128941873,0.0016567997461489222,0.4739160287918706,0.46742137378696685,TX: Harris
48201,first_victim,Black,18,0.13579971311488084,0.0012610176526238832,0.13827130771402366,0.13332811851573803,TX: Harris
